iter	F1	Logloss
0	0.8098273985	0.6859052795
1	0.8260385166	0.6774597067
2	0.8244563505	0.6699692676
3	0.8286429018	0.6629818353
4	0.8311688312	0.6551648313
5	0.8344473807	0.6482306355
6	0.8372960373	0.6412141614
7	0.8364594636	0.6344835481
8	0.8351171087	0.6271467788
9	0.8368772311	0.6205065663
10	0.839091192	0.6138075488
11	0.8376148217	0.6074852444
12	0.8337984496	0.6026273416
13	0.8357142857	0.5976095902
14	0.8354508832	0.591584756
15	0.8360248447	0.58617662
16	0.8378757203	0.5802899926
17	0.8386795391	0.5752044531
18	0.8384089497	0.5696215727
19	0.8398389095	0.5643994796
20	0.8385698808	0.5600311465
21	0.8391998759	0.5547993136
22	0.8383103822	0.5502404811
23	0.8382398513	0.5457128535
24	0.839789278	0.5407014944
25	0.8395100016	0.5360491482
26	0.8401613904	0.5318543708
27	0.8405527092	0.5275622481
28	0.8414350054	0.5231625823
29	0.8415657036	0.5189492055
30	0.8417456127	0.5153983188
31	0.8424976701	0.5117510411
32	0.8411737308	0.5088018923
33	0.842693143	0.5051331564
34	0.8423828731	0.5017608275
35	0.8436239528	0.4983216052
36	0.8440509475	0.4951884899
37	0.8445273632	0.4916851316
38	0.8438228438	0.4888017037
39	0.8445273632	0.4857736948
40	0.8432650528	0.4839864656
41	0.8446722585	0.4808295363
42	0.8451010886	0.4774363091
43	0.8447552448	0.4748882261
44	0.8451141836	0.4719085963
45	0.8461777502	0.4688293699
46	0.8457711443	0.4657463045
47	0.846333489	0.4628238757
48	0.845482866	0.4612448674
49	0.8461179399	0.4584565648
50	0.8455664641	0.4558147009
51	0.8469085812	0.4527548702
52	0.8473044562	0.450985263
53	0.8468131526	0.4486433836
54	0.8474364968	0.4463173464
55	0.8478328656	0.4438113172
56	0.8479176416	0.4414853654
57	0.8480024969	0.4389600028
58	0.8473782772	0.4372878415
59	0.8476532044	0.4346483486
60	0.8488444722	0.4321048285
61	0.8485321674	0.4302052896
62	0.8484943049	0.4278157771
63	0.8488916641	0.4258762031
64	0.8501872659	0.4236319729
65	0.8507649079	0.4219458972
66	0.8514294641	0.419786786
67	0.8508909034	0.4181988505
68	0.8508909034	0.415961053
69	0.851336564	0.4143237833
70	0.851869232	0.4125617137
71	0.8526694849	0.410938725
72	0.8535630384	0.4089042472
73	0.8534293768	0.4071991484
74	0.8542807951	0.4054412837
75	0.8546821171	0.4039487376
76	0.8551745734	0.4025367551
77	0.8561579442	0.4004469073
78	0.8567398119	0.3989967892
79	0.8571875979	0.3973620214
80	0.8576796618	0.395726179
81	0.8583046606	0.3938669325
82	0.8585716518	0.3921680322
83	0.8593774441	0.3908665527
84	0.8600062637	0.3896327324
85	0.8607674236	0.3883100791
86	0.8607198748	0.3869873042
87	0.860676268	0.3856296191
88	0.8611241584	0.3843280067
89	0.8617021277	0.3829789718
90	0.8629965593	0.3812852111
91	0.8629965593	0.3799828455
92	0.8637145987	0.3786973642
93	0.8642052566	0.3773649589
94	0.8647040401	0.3760385813
95	0.8658211993	0.3745355083
96	0.8659987477	0.3735071855
97	0.8668439994	0.37230381
98	0.8671569394	0.3709324769
99	0.8670628714	0.3697581134
100	0.8678655199	0.3688285991
101	0.8682316119	0.3677125226
102	0.8687627092	0.3664372573
103	0.8695244055	0.3653123011
104	0.8701908039	0.3639938601
105	0.8703269201	0.3629402918
106	0.8713057076	0.3616160749
107	0.8714419769	0.3602166231
108	0.8717146433	0.3591343939
109	0.8715381005	0.3581358322
110	0.8721239631	0.3570724367
111	0.8727101926	0.3561016038
112	0.8727671576	0.3552804788
113	0.8729437569	0.3542760349
114	0.8733939204	0.3534648963
115	0.8735307945	0.3527912131
116	0.8744317291	0.351515673
117	0.874197086	0.350272631
118	0.8747452579	0.3495546564
119	0.8752941176	0.3485145063
120	0.8760589896	0.347648338
121	0.8756078431	0.3467196692
122	0.8759215686	0.3460862459
123	0.87613672	0.3452728047
124	0.87697853	0.3442513554
125	0.8766264305	0.3436749019
126	0.8767037443	0.3431033068
127	0.8766650995	0.3422529739
128	0.8774678784	0.3414237893
129	0.878293601	0.3405965454
130	0.8791967367	0.339522835
131	0.8797240082	0.3387692542
132	0.8807281858	0.3373730369
133	0.8810047096	0.3363648417
