iter	Passed	Remaining
0	5	2122
1	14	2675
2	22	2789
3	32	2929
4	47	3459
5	55	3354
6	65	3367
7	73	3307
8	85	3401
9	92	3334
10	101	3310
11	112	3347
12	116	3181
13	127	3237
14	136	3215
15	146	3233
16	154	3189
17	163	3186
18	172	3174
19	181	3175
20	190	3156
21	199	3139
22	213	3210
23	223	3213
24	232	3198
25	241	3191
26	250	3169
27	261	3184
28	272	3197
29	280	3172
30	297	3241
31	308	3251
32	316	3226
33	327	3230
34	337	3216
35	347	3212
36	357	3204
37	366	3188
38	376	3189
39	387	3187
40	391	3133
41	399	3112
42	409	3102
43	418	3091
44	431	3106
45	441	3098
46	451	3095
47	459	3073
48	473	3095
49	482	3080
50	490	3061
51	501	3055
52	509	3035
53	519	3032
54	536	3062
55	546	3052
56	555	3039
57	565	3032
58	573	3014
59	583	3003
60	591	2987
61	613	3039
62	624	3034
63	634	3023
64	646	3024
65	656	3014
66	666	3005
67	678	3002
68	693	3017
69	703	3006
70	720	3022
71	732	3022
72	744	3019
73	753	3005
74	767	3008
75	777	2998
76	786	2980
77	801	2988
78	813	2987
79	823	2974
80	832	2958
81	841	2945
82	850	2929
83	859	2917
84	871	2911
85	880	2898
86	893	2894
87	900	2876
88	910	2864
89	920	2854
90	930	2842
91	945	2846
92	963	2858
93	985	2882
94	1052	3034
95	1087	3092
96	1142	3204
97	1172	3243
98	1238	3376
99	1266	3405
100	1284	3408
101	1305	3416
102	1326	3425
103	1344	3425
104	1371	3447
105	1422	3529
106	1455	3564
107	1487	3594
108	1541	3676
109	1569	3695
110	1591	3699
111	1613	3702
112	1637	3709
113	1669	3733
114	1713	3784
115	1724	3761
116	1740	3748
117	1757	3738
118	1773	3726
119	1789	3713
120	1805	3701
121	1826	3697
122	1851	3702
123	1866	3687
124	1889	3687
125	1899	3662
126	1914	3647
127	1930	3634
128	1947	3622
129	1960	3604
130	1976	3591
131	1989	3571
132	2006	3560
133	2020	3543
